,start,end,duration,text
0,00:00:00.000,00:00:06.039,6.039999961853027," Welcome to the Saint of the Day podcast, a service of Good Catholic and the Catholic"
1,00:00:06.039,00:00:07.039,1.0, Company.
2,00:00:07.039,00:00:11.720,4.680000305175781, Join us each day as we share the story of a unique saint in three minutes or less.
3,00:00:11.720,00:00:14.279,2.559999465942383, Today's saint is Saint Isidore of Seville.
4,00:00:14.279,00:00:21.159,6.880000114440918," Saint Isidore of Seville, who lived from 560 to 636, was born in Carthage in Spain to noble"
5,00:00:21.159,00:00:23.040,1.8800010681152344, and pious parents.
6,00:00:23.040,00:00:27.159,4.119998931884766," After the example of their parents, Isidore, as well as his two brothers and sister, all"
7,00:00:27.159,00:00:28.879,1.7199993133544922, became saints.
8,00:00:28.879,00:00:32.400,3.5200023651123047, Isidore received his early education at the Cathedral School in Seville where a group
9,00:00:32.400,00:00:36.959,4.55999755859375," of learned men taught classical education, among them his brother Leander, the Archbishop"
10,00:00:36.959,00:00:38.200,1.2400016784667969, of Seville.
11,00:00:38.200,00:00:41.919,3.7199974060058594," The Cathedral School was the first of its kind in the country, and Isidore excelled"
12,00:00:41.919,00:00:43.479,1.5600013732910156, in his studies there.
13,00:00:43.479,00:00:48.639,5.159999847412109," He became a man of great learning, zeal, piety, and apostolic endeavor, assisting his brother"
14,00:00:48.639,00:00:51.619,2.979999542236328, in converting the Visigoths from the Arian heresy.
15,00:00:51.619,00:00:56.159,4.540000915527344," He followed his brother in becoming next Archbishop of Seville, leading his diocese for nearly"
16,00:00:56.159,00:00:57.599,1.4399986267089844, 40 years.
17,00:00:57.599,00:00:59.939,2.3400001525878906, Isidore was an important saint for his time.
18,00:00:59.939,00:01:03.639,3.700000762939453, He was one of the most learned men of the 6th century and is considered the last of
19,00:01:03.639,00:01:05.519,1.8799972534179688, the early church fathers.
20,00:01:05.519,00:01:09.839,4.319999694824219," He was a prolific writer on the sciences and the classics, which in effect helped preserve"
21,00:01:09.839,00:01:15.019,5.180000305175781, Western civilization during the early Middle Ages following the barbarian invasions.
22,00:01:15.019,00:01:19.959,4.94000244140625," He composed history books, a dictionary with a structure akin to a database, and an encyclopedia"
23,00:01:19.959,00:01:22.400,2.44000244140625, which was used for nine centuries.
24,00:01:22.400,00:01:27.040,4.6399993896484375," Saint Isidore reunited Spain after the barbarian onslaught, making it a center of culture and"
25,00:01:27.040,00:01:28.120,1.0800018310546875, learning.
26,00:01:28.120,00:01:32.839,4.719993591308594," He required seminaries to be built in every diocese, wrote a rule for religious orders,"
27,00:01:32.839,00:01:36.239,3.4000015258789062, and founded schools that taught every branch of learning.
28,00:01:36.239,00:01:40.120,3.8800048828125, Spain then became a model for similar renewal in other European countries.
29,00:01:40.120,00:01:43.800,3.6800003051757812," For his great learning and written works, he was proclaimed a doctor of the church by"
30,00:01:43.800,00:01:45.879,2.0799942016601562, Pope Benedict XIV.
31,00:01:45.879,00:01:50.639,4.760002136230469," Saint Isidore of Seville is the patron of computers, schoolchildren, and the internet."
32,00:01:50.639,00:01:52.879,2.2399978637695312, His feast day is April 4th.
33,00:01:52.879,00:01:57.879,5.0, I invite you to give up social media today and offer it up for someone in need.
34,00:01:57.879,00:02:00.599,2.720001220703125," Saint Isidore of Seville, pray for us."
35,00:02:00.599,00:02:01.800,1.2000045776367188, Thank you for tuning in.
36,00:02:01.800,00:02:04.080,2.279998779296875, This is a Good Catholic Podcast.
37,00:02:04.080,00:02:08.880,4.8000030517578125," If you like what you heard, check us out at goodcatholic.com and make sure to subscribe"
38,00:02:08.880,00:02:10.000,1.1199951171875, to our YouTube channel.
