,start,end,duration,text
0,00:00:00.000,00:00:06.840,6.840000152587891, The skulls and artifacts in this video are authentic from sites all around the globe.
1,00:00:06.840,00:00:12.039,5.199999809265137," Feel free to share, but please do not download and respect the copyrights herein."
2,00:00:12.039,00:00:14.399,2.359999656677246, Viewer discretion advised.
3,00:00:14.399,00:00:23.479,9.079999923706055," So tell me straight, Rabbi, have any powerful people attempted to bury this knowledge?"
4,00:00:23.479,00:00:27.620,4.14000129699707, I tried to figure out what was the disconnect in history.
5,00:00:27.620,00:00:36.500,8.879999160766602," This video is about the Nephilim, a mystery that goes back even further than Babylon."
6,00:00:36.500,00:00:38.060,1.5600013732910156, Enjoy the ride.
7,00:00:38.060,00:00:47.299,9.239997863769531, Nephilim were on the earth in those days and also afterwards when the sons of God went
8,00:00:47.299,00:00:53.700,6.400001525878906, in to the daughters of men and bore children by them.
9,00:00:53.700,00:01:00.700,7.0," These were the mighty ones of old, famous warriors of ancient times."
10,00:01:00.700,00:01:07.699,6.999996185302734," If all the 1st, 2nd, and 3rd century, and then even the early Jewish commentators all"
11,00:01:07.699,00:01:11.699,4.0," stood on the same ground with this, why is there such a disconnect?"
12,00:01:11.699,00:01:13.699,2.0, I researched something interesting.
13,00:01:13.699,00:01:19.699,6.0, There was a second council in Constantinople from the early Roman church.
14,00:01:19.699,00:01:23.699,4.0, This was in 553 A.D.
15,00:01:23.699,00:01:28.699,5.0," They decreed that the teachings of Origen, an early church writer on the subject of angels,"
16,00:01:28.699,00:01:30.699,2.0, could be hearsay.
17,00:01:30.699,00:01:34.699,4.0, This guy here was found in Peru.
18,00:01:34.699,00:01:38.699,4.0, And here's a little baby one from Peru.
19,00:01:38.699,00:01:40.699,2.0, Take a look at that right there.
20,00:01:40.699,00:01:46.699,6.0, Look at the little fingers on that going up that long head.
21,00:01:46.699,00:01:50.699,4.0," This of course is Siberia, Russia."
22,00:01:50.699,00:01:54.699,4.0, Look at the size of the mallet on that one from Peru.
23,00:01:54.699,00:01:58.699,4.0," He almost doesn't look friendly, does he?"
24,00:01:58.699,00:02:02.699,4.0, And this one here is from the sands of Iran.
25,00:02:02.699,00:02:09.699,7.0, This is one of apparently about 20 from a dig site in Germany.
26,00:02:09.699,00:02:19.699,10.0," Would you say there's anything at all about that guy there that doesn't look, I don't know, human?"
27,00:02:19.699,00:02:23.699,4.0, This one was found in Bolivia.
28,00:02:23.699,00:02:24.699,1.0, Hold on to your seats.
29,00:02:24.699,00:02:31.699,7.0, We're going to go over some unique features on these long heads in just a minute.
30,00:02:31.699,00:02:35.699,4.0," Also found in Russia, Peru."
31,00:02:35.699,00:02:40.699,5.0, The sheer mass on the back of some of these is astounding.
32,00:02:40.699,00:02:42.699,2.0, Here's a child being held.
33,00:02:42.699,00:02:46.699,4.0, Look at the size of that one in the middle.
34,00:02:46.699,00:02:52.699,6.0, This may be the largest one in terms of head volume out of Peru.
35,00:02:52.699,00:02:57.699,5.0, Now we're really starting to leave the it looks human range.
36,00:02:57.699,00:03:06.699,9.0, This guy here was one of 13 found at a dig site in Mexico.
37,00:03:06.699,00:03:09.699,3.0, It's a biblical Hebrew text.
38,00:03:09.699,00:03:12.699,3.0, And you start finding a lot of strange anomalies.
39,00:03:12.699,00:03:14.699,2.0," You know, you read about giants."
40,00:03:14.699,00:03:23.699,9.0," When Moshe Moses sent the spies over into Cana, and they described this land being filled full of giants."
41,00:03:23.699,00:03:30.699,7.0," You know, when the spies come back, they said, you know, what were the size of grasshoppers compared to these men?"
42,00:03:30.699,00:03:35.699,5.0, The word Nephilim often gets translated as giants.
43,00:03:35.699,00:03:39.699,4.0, It is true there have been actual giants in history.
44,00:03:39.699,00:03:42.699,3.0, This is Robert Wadlow.
45,00:03:42.699,00:03:50.699,8.0, He's the tallest man ever officially recorded in this modern time period at 8 feet 11 inches.
46,00:03:50.699,00:03:57.700,7.0000152587890625, This photograph was taken by Roy Chapman Andrews during an expedition to Mongolia in 1922.
47,00:03:57.700,00:04:02.700,5.0, The image ran one time in National Geographic magazine.
48,00:04:02.700,00:04:05.700,3.0, It was never published in the magazine again.
49,00:04:05.700,00:04:09.700,4.0, Signals describing a guy with six fingers and toes.
50,00:04:09.700,00:04:12.700,3.0, And he's not calling it a deformity.
51,00:04:12.700,00:04:16.700,4.0," Now, you know, I've seen people who've had a toe, but it's a deformity."
52,00:04:16.700,00:04:19.700,3.0, These are six working fingers and toes.
53,00:04:19.700,00:04:27.700,8.0, I actually found an ancient picture from Babylon of a giant with six fingers and toes.
54,00:04:27.700,00:04:30.700,3.0, And the giant is actually holding a lion.
55,00:04:30.700,00:04:35.700,5.0, And he is so large that the lion is held like I would hold a cat.
56,00:04:35.700,00:04:45.700,10.0," Like I'm saying to you, only if you're reading in the Hebrew are you going to see how deep this goes and how actually clear it is."
57,00:04:45.700,00:04:52.700,7.0, It is curious where the trail can begin to lead when looking at ancient bloodlines.
58,00:04:52.700,00:05:01.700,9.0," When talking about the word Nephilim, what we're dealing with is a little bit deeper and darker and larger in scope"
59,00:05:01.700,00:05:07.700,6.0," than giantism, a really tall guy, or your favorite basketball player."
60,00:05:07.700,00:05:14.700,7.0, The term Nephilim became synonymous with giants because that's what they tended to be.
61,00:05:14.700,00:05:17.700,3.0, It is by no means limited to that meaning.
62,00:05:17.700,00:05:27.700,10.0," In fact, the word Nephilim is more of an umbrella term for the hybrid children, creatures of any high strangeness,"
63,00:05:27.700,00:05:37.700,10.0," which are actual flesh and blood, biological products of the Beneha Elohim, the fallen angels."
64,00:05:37.700,00:05:45.700,8.0," Well, first, the word Nephilim is actually a plural from the Hebrew word Nephal, fallen."
65,00:05:45.700,00:05:50.700,5.0," And when you say Nephilim, you're basically saying the fallen ones."
66,00:05:50.700,00:05:55.700,5.0," Genesis chapter 6 verses 1 through 2 says that when men began to increase,"
67,00:05:55.700,00:05:59.700,4.0," the number of the earth and daughters were born to them, the sons of God."
68,00:05:59.700,00:06:11.700,12.0," The term sons of God or the Beneha Elohim can mean angels, fallen angels, or in the book of Enoch, the watchers."
69,00:06:11.700,00:06:21.700,10.0, Sons of God saw that the daughters of men were beautiful and they married any of them that they chose and had children by them.
70,00:06:21.700,00:06:31.700,10.0," So at this moment, without going off of any of the physical evidence and before taking a really deep look at these skulls"
71,00:06:31.700,00:06:39.700,8.0," or peering into the history and just using the texts alone, in any authentic text,"
72,00:06:39.700,00:06:45.700,6.0," whether you're dealing with actual angels or you're talking about fallen angels,"
73,00:06:45.700,00:06:52.700,7.0, these are not Hallmark card creatures. These are extremely powerful entities.
74,00:06:52.700,00:06:57.700,5.0, Angels often get depicted in artwork with wings.
75,00:06:57.700,00:07:05.700,8.0, Now the Ark of the Covenant does have two cherubim depicted with wings over the mercy seat.
76,00:07:05.700,00:07:14.700,9.0," But, key term here, these angels are representing the cherubim at the throne of God in heaven."
77,00:07:14.700,00:07:22.700,8.0, But I can't find one spot in the entirety of the Greek or Hebrew biblical texts
78,00:07:22.700,00:07:34.700,12.0," where angels, dimensional beings, Beneha Elohim, stepping through into this reality had wings."
79,00:07:34.700,00:07:39.700,5.0," From the angels at the tomb of Jesus Christ, no wings."
80,00:07:39.700,00:07:44.700,5.0," All the way back to Genesis, to the angels that visited Abraham,"
81,00:07:44.700,00:07:50.700,6.0," to the angel that dropped the chains from Peter's wrists and said,"
