,start,end,duration,text
0,00:00:00.000,00:00:03.279,3.2799999713897705," So I saw this being, he just looked horrible."
1,00:00:03.279,00:00:06.840,3.56000018119812," He had this body of a lamb with fur that like glue,"
2,00:00:06.840,00:00:09.560,2.7200002670288086, like slime was gluing it together.
3,00:00:09.560,00:00:12.680,3.119999885559082," And he had a black, black wolf face"
4,00:00:12.680,00:00:15.880,3.1999998092651367, and he had these piercing red beam eyes.
5,00:00:15.880,00:00:20.319,4.439999580383301, And I saw this huge lion and this lion had eyes of fire
6,00:00:20.319,00:00:22.719,2.3999996185302734, and he had white fur with the tips
7,00:00:22.719,00:00:24.399,1.6800003051757812, appeared to be drenched in blood.
8,00:00:24.399,00:00:27.920,3.520000457763672, And that was always the words I used since I came back.
9,00:00:27.920,00:00:32.920,5.0, ♪♪
10,00:00:32.920,00:00:35.120,2.200000762939453, Welcome to this episode of Heaven Encounters.
11,00:00:35.120,00:00:37.000,1.8800010681152344," My guest today, Camille Hall,"
12,00:00:37.000,00:00:39.320,2.3199996948242188, suffered from cardiac disease
13,00:00:39.320,00:00:42.399,3.079998016357422, for most of her life from early childhood.
14,00:00:42.399,00:00:46.800,4.400001525878906, That led to cardiac arrest after she was told
15,00:00:46.800,00:00:49.519,2.7199974060058594, that if she didn't have a heart transplant
16,00:00:49.519,00:00:52.079,2.5600013732910156, within a period of time that she would die.
17,00:00:52.079,00:00:54.880,2.8000030517578125," And indeed she suffered from a cardiac arrest,"
18,00:00:54.880,00:00:57.679,2.7999954223632812," experienced something very hellish,"
19,00:00:57.679,00:01:00.240,2.5600051879882812, but she'll take us to heaven today.
20,00:01:00.240,00:01:02.120,1.8799972534179688, And this is gonna be absolutely amazing.
21,00:01:02.120,00:01:04.279,2.1599960327148438," So Camille, great to be with you today."
22,00:01:04.279,00:01:06.160,1.8800048828125," Hi, Randy, it's so great to be here."
23,00:01:06.160,00:01:06.999,0.839996337890625, Thank you.
24,00:01:06.999,00:01:10.480,3.4800033569335938," Well, Camille, you did suffer through most of your childhood"
25,00:01:10.480,00:01:13.440,2.9599990844726562, and tell us about how that led up
26,00:01:13.440,00:01:18.079,4.6399993896484375, to your afterlife experience.
27,00:01:18.079,00:01:18.920,0.8400039672851562, Sure.
28,00:01:18.920,00:01:23.440,4.519996643066406," So in all my life, I've suffered with heart disease,"
29,00:01:23.440,00:01:26.679,3.2399978637695312, so congenital heart disease.
30,00:01:26.679,00:01:29.719,3.0400009155273438," And so I just kind of had dealt with that,"
31,00:01:29.719,00:01:31.240,1.5200042724609375, different things on and off.
32,00:01:31.240,00:01:33.560,2.3199996948242188, And I got a pacemaker when I was 18
33,00:01:33.560,00:01:36.440,2.8799972534179688, and just have always dealt with things.
34,00:01:36.440,00:01:41.200,4.760002136230469," But then in 2009, I ended up moving into a house"
35,00:01:41.200,00:01:43.280,2.0800018310546875, that was full of toxic mold.
36,00:01:43.280,00:01:45.840,2.55999755859375," And it's not the regular black mold that people see,"
37,00:01:45.840,00:01:48.160,2.3199996948242188," so I like to not scare anybody by that,"
38,00:01:48.160,00:01:51.280,3.1200027465820312, but we had it tested because it looked different.
39,00:01:51.280,00:01:52.600,1.3199996948242188, So we had it tested.
40,00:01:52.600,00:01:57.359,4.7599945068359375," And in fact, it was the 1% most harmful kind of mold."
41,00:01:57.359,00:02:01.280,3.920013427734375," And I had started, but before we knew that,"
42,00:02:01.280,00:02:03.999,2.7199859619140625," this was a year after I came back from the hospital,"
43,00:02:03.999,00:02:07.320,3.32000732421875," but before we knew that, I became really ill."
44,00:02:07.320,00:02:10.560,3.2400054931640625," And my heart, just on a regular checkups,"
45,00:02:10.560,00:02:12.680,2.1199951171875, they said it was basically blowing up.
46,00:02:12.680,00:02:15.320,2.6399993896484375," It was, I had a huge enlarged heart,"
47,00:02:15.320,00:02:16.960,1.6399993896484375," like it was growing rapidly,"
48,00:02:16.960,00:02:20.520,3.55999755859375, and they gave me a year to live without a heart transplant.
49,00:02:20.520,00:02:24.120,3.600006103515625," At that time, that was August of 2012,"
50,00:02:24.120,00:02:27.400,3.279998779296875," I went home and God said, pray like you never have before"
51,00:02:27.400,00:02:30.079,2.67999267578125, because you don't want someone else's heart.
52,00:02:30.079,00:02:32.280,2.20001220703125, And I was just stunned by that.
53,00:02:32.280,00:02:34.120,1.839996337890625," So I just prayed and prayed,"
54,00:02:34.120,00:02:36.760,2.6399993896484375, and I honestly thought I was gonna die
55,00:02:36.760,00:02:38.680,1.9199981689453125, because they had told me that at the hospital.
56,00:02:38.680,00:02:43.680,5.0, They said to get grief counselors for my family and prepare.
57,00:02:43.680,00:02:46.800,3.1199951171875, And so I just started getting closer and closer to the Lord.
58,00:02:46.800,00:02:48.919,2.1199951171875," I was already saved, thankfully,"
59,00:02:48.919,00:02:50.639,1.720001220703125, but that really showed me a lot.
60,00:02:50.639,00:02:53.359,2.720001220703125, But then I got really sick.
61,00:02:53.359,00:02:55.999,2.6399993896484375," March of 2013, I was at my house,"
62,00:02:55.999,00:02:57.839,1.839996337890625," and for about three days,"
63,00:02:57.839,00:03:02.719,4.8800048828125," I ended up having just complete body aches and swelling,"
64,00:03:02.719,00:03:04.960,2.2400054931640625," like you couldn't believe, like the swelling."
65,00:03:04.960,00:03:06.800,1.839996337890625, I always say edema is probably
66,00:03:06.800,00:03:09.760,2.9600067138671875," the most underrated pain we have,"
67,00:03:09.760,00:03:12.639,2.8799896240234375, and this horrible pain.
68,00:03:12.639,00:03:16.719,4.0800018310546875," And on the third day, I just,"
69,00:03:16.719,00:03:18.400,1.6800079345703125," I remember, I'll just be quite frank,"
70,00:03:18.400,00:03:20.680,2.279998779296875, I remember urinating blood.
71,00:03:20.680,00:03:23.359,2.67999267578125," And I looked down, I saw that,"
72,00:03:23.359,00:03:24.600,1.2400054931640625, and then I got dizzy.
73,00:03:24.600,00:03:29.040,4.44000244140625," And then I said, call 911 to my husband at the time,"
74,00:03:29.040,00:03:31.079,2.0399932861328125," right then, for the first time in my life,"
75,00:03:31.079,00:03:32.600,1.5200042724609375, I'd ever said that.
76,00:03:32.600,00:03:35.320,2.720001220703125, And then I went into strokes.
77,00:03:35.320,00:03:38.320,3.0," But I remember this lady coming to the house,"
78,00:03:38.320,00:03:40.279,1.959991455078125," and she was, I'll never forget it,"
79,00:03:40.279,00:03:43.079,2.8000030517578125, because she was so extremely demonic.
80,00:03:43.079,00:03:46.079,3.0, And she told my husband to leave me there
81,00:03:46.079,00:03:49.199,3.1199951171875," and to go in Monday, because this was a Saturday."
82,00:03:49.199,00:03:52.800,3.600006103515625," And I remember going, trying to struggle to say, no, no."
83,00:03:52.800,00:03:55.600,2.8000030517578125," But fortunately, he said, you're taking her in."
84,00:03:55.600,00:03:57.440,1.839996337890625, And then we got into the ambulance
85,00:03:57.440,00:03:58.600,1.160003662109375," and she told me to shut up,"
86,00:03:58.600,00:04:01.040,2.44000244140625, or she was gonna shove something in my throat.
87,00:04:01.040,00:04:04.919,3.8799896240234375," I passed out and ended up going into,"
88,00:04:04.919,00:04:06.520,1.600006103515625," I went to a couple different hospitals,"
89,00:04:06.520,00:04:07.720,1.20001220703125, because one was closer.
