,start,end,duration,text
0,00:00:00.000,00:00:08.000,8.0, MUSIC
1,00:00:08.000,00:00:14.000,6.0, MUSIC
2,00:00:14.000,00:00:19.000,5.0," I thought I would try to touch on as many video request topics as I could in this video,"
3,00:00:19.000,00:00:25.000,6.0," including the Phoenicians, Aryans, Israelites and Lost Tribes,"
4,00:00:25.000,00:00:29.000,4.0," the Ashkenazi, Noah and his sons,"
5,00:00:29.000,00:00:34.000,5.0," and probably the most frequently requested culture, the Scythians."
6,00:00:34.000,00:00:39.000,5.0," That seems like quite a lot, but since there's a lot of overlap, I'll give it a shot."
7,00:00:39.000,00:00:42.000,3.0," So, welcome to another episode."
8,00:00:42.000,00:00:47.000,5.0, The Scythians are the common ancestors of the Indo-European people.
9,00:00:47.000,00:00:55.000,8.0, The word Indo-European describes a language family spoken over the greater part of Europe and Asia as far as northern India.
10,00:00:55.000,00:01:00.000,5.0," It implies that a tribe of people, the Proto-Indo-Europeans,"
11,00:01:00.000,00:01:04.000,4.0," have fused in the past from the Black Sea area or Anatolia,"
12,00:01:04.000,00:01:11.000,7.0, and identifying these people ethnically and historically will hopefully tie together many loose ends.
13,00:01:11.000,00:01:16.000,5.0," Proto just means before, original or first."
14,00:01:16.000,00:01:22.000,6.0," So Proto-Indo-European means the original tribe of people that spread in antiquity into Europe,"
15,00:01:22.000,00:01:26.000,4.0, to the west and into India to the east.
16,00:01:26.000,00:01:30.000,4.0," And when we look at the branch of anthropology known as linguistics,"
17,00:01:30.000,00:01:32.000,2.0," which means the origin of languages,"
18,00:01:32.000,00:01:37.000,5.0," the oldest branch of Indo-European languages were the Anatolian languages,"
19,00:01:37.000,00:01:40.000,3.0," the geographic area around the Black Sea,"
20,00:01:40.000,00:01:44.000,4.0," including the Caucasus Mountains, which is modern-day Turkey,"
21,00:01:44.000,00:01:49.000,5.0," and Armenia, once part of the Hittite Empire."
22,00:01:49.000,00:01:53.000,4.0, Pliny the Elder's natural history derives the name of the Caucasus
23,00:01:53.000,00:01:58.000,5.0," from the Scythian kroikasis, meaning ice shining white with snow."
24,00:01:58.000,00:02:02.000,4.0, The Caucasus is where we get the term Caucasian from.
25,00:02:02.000,00:02:08.000,6.0," In a biblical context, it's where Noah was said to have settled after the floodwaters receded."
26,00:02:08.000,00:02:13.000,5.0," In medieval ethnography, the world was divided into three large-scale groupings,"
27,00:02:13.000,00:02:17.000,4.0, corresponding to three classical continents.
28,00:02:17.000,00:02:20.000,3.0," The Caucasian Semite people of Asia,"
29,00:02:20.000,00:02:23.000,3.0," the Hamidic Caucasian people of North Africa,"
30,00:02:23.000,00:02:26.000,3.0, and the Caucasian Japhetic people of Europe.
31,00:02:26.000,00:02:31.000,5.0," While these terms are no longer in use, mainly because of changing demographics,"
32,00:02:31.000,00:02:36.000,5.0," keep in mind that they apply to millennia ago and to the nobility of these societies,"
33,00:02:36.000,00:02:41.000,5.0," not every single individual that lived within a geographical region,"
34,00:02:41.000,00:02:44.000,3.0, which at one time included large slave populations.
35,00:02:44.000,00:02:48.000,4.0," For now, let's focus on the expansion of the Scythian culture."
