,start,end,duration,text
0,00:00:00.000,00:00:20.000,20.0, Today is the feast of Saint Isidore of Seville.
1,00:00:20.000,00:00:24.600,4.600000381469727," Born around the year 560 AD, Isidore's family stressed the importance of education from"
2,00:00:24.600,00:00:25.600,1.0, his youth.
3,00:00:25.600,00:00:29.440,3.8400001525878906," While Isidore was a well-mannered child, at one point he became so upset by the rigor"
4,00:00:29.440,00:00:32.279,2.839998245239258, of his education that he ran away.
5,00:00:32.279,00:00:36.279,4.0," After some time away, Isidore realized his family only meant well for him, and he would"
6,00:00:36.279,00:00:39.400,3.1200027465820312, return home with a renewed zeal towards his study.
7,00:00:39.400,00:00:43.840,4.439998626708984," His family, under the tutelage of his older brother, agreed to soften their severe punishments"
8,00:00:43.840,00:00:46.159,2.3199996948242188, if he agreed not to run away again.
9,00:00:46.159,00:00:50.119,3.9599990844726562," While studying, Isidore would encounter the great thinkers of Christendom."
10,00:00:50.119,00:00:54.939,4.819999694824219, Isidore began to have a burning love for theology after studying the likes of Saint Augustine.
11,00:00:54.939,00:00:58.840,3.9000015258789062, He would also cultivate a love for Greek language and philosophy.
12,00:00:58.840,00:01:02.860,4.020000457763672," Encouraged and strengthened by these new guides, Isidore would soon become a teacher"
13,00:01:02.860,00:01:04.000,1.1399993896484375, in Europe.
14,00:01:04.000,00:01:08.419,4.4199981689453125," He wrote books on topics such as grammar, astronomy, and geography."
15,00:01:08.419,00:01:13.519,5.099998474121094," As Isidore was restoring order in the universities and centers of learning, the air of Arianism"
16,00:01:13.519,00:01:18.260,4.7400054931640625, was growing strong and taking root in the newly baptized Visigoths.
17,00:01:18.260,00:01:20.779,2.5199966430664062, Isidore knew full well the horror of the Arians.
18,00:01:20.779,00:01:24.419,3.6399993896484375," In many respects, he was standing with the great Saint Athanasius, whom he studied in"
19,00:01:24.419,00:01:25.919,1.5, his youth.
20,00:01:25.919,00:01:30.019,4.099998474121094," After being raised to the level of bishop, Isidore used his understanding of philosophy"
21,00:01:30.019,00:01:34.260,4.2400054931640625, and theology to fight and defeat Arianism in his diocese.
22,00:01:34.260,00:01:38.919,4.659996032714844," Isidore lived to be nearly 80, until his death in 636 AD."
23,00:01:38.919,00:01:43.699,4.779998779296875, He is regarded as the most learned man of his age and exercised a far-reaching and immeasurable
24,00:01:43.699,00:01:46.480,2.7800064086914062, influence on the educational life of the Middle Ages.
